Jurisdiction,2018,2019,2020
All Federal,41,366,521
Alabama,27,246,346
Alaska,2,6,5
Arizona,34,174,243
Arkansas,20,123,228
California,209,1537,1909
Colorado,27,164,308
Connecticut,0,34,36
Delaware,0,5,14
District Of Columbia,0,11,17
Florida,81,626,811
Georgia,12,343,584
Hawaii,0,2,1
Idaho,0,28,53
Illinois,11,202,486
Indiana,9,181,155
Iowa,7,46,82
Kansas,24,37,55
Kentucky,1,36,89
Louisiana,5,140,72
Maine,0,1,1
Maryland,21,239,383
Massachusetts,3,74,163
Michigan,35,448,478
Minnesota,22,207,173
Mississippi,0,51,171
Missouri,6,52,118
Montana,2,17,40
Nebraska,2,23,46
Nevada,15,129,169
New Hampshire,3,24,42
New Jersey,19,115,173
New Mexico,3,12,41
New York,50,172,265
North Carolina,50,197,251
North Dakota,0,16,55
Ohio,7,186,400
Oklahoma,3,40,57
Oregon,2,64,100
Pennsylvania,7,139,262
Rhode Island,0,9,8
South Carolina,7,172,176
South Dakota,1,13,17
Tennessee,1,80,95
Texas,97,904,824
Utah,1,32,63
Vermont,1,19,17
Virginia,72,304,484
Washington,11,118,196
West Virginia,0,7,11
Wisconsin,31,214,250
Wyoming,0,11,10
