Agency Name:,County of Court,Warrant Number,Submitted,Nature of the investigation,Primary Nature,Crime of Violence Options,Secondary Nature,Order Served on,Business Name,Items to be searched for:,Start Date for Info,End Date for Info,Grounds for Issuance,Reasons for Delay (if any),Emergency?,Facts giving rise to the emergency,fn,Submitted Year
Walnut CReek PD,Contra Costa,,2018-11-06 15:56:00,314 PC - Indecent Exposure,Sex Crimes,,,Business,Google LLC,Anonymized Google Users,2018-09-25 0:00:00,2018-10-10 0:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No,,eswn2018.xlsx,2018
Tustin PD,Orange,,2019-04-03 6:06:00,"Residential Burglary Crew targeting multiple cities in Orange County, Ca.",Theft/Fraud,,,Device Only,,Google anonymous identifier list,2019-03-03 0:00:00,2019-03-03 0:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
",,No,,eswn2019.xlsx,2019
Tustin PD,Orange,,2019-04-04 6:41:00,Residential Burglary Investigation,Theft/Fraud,,,Business,Google LLC,Google Anonymous Identifier List,2019-02-28 0:00:00,2019-02-28 0:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
",,No,,eswn2019.xlsx,2019
Tustin PD,Orange,,2019-04-04 6:44:00,Residential Burglary,Theft/Fraud,,,Business,Google LLC,Google Anonymous Identifier List,2019-03-08 0:00:00,2019-03-08 0:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
",,No,,eswn2019.xlsx,2019
Tustin PD,Orange,,2019-04-04 6:46:00,Residential Burglary,Theft/Fraud,,,Business,Google LLC,Google Anonymous Identifier List,2019-03-06 0:00:00,2019-03-06 0:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
",,No,,eswn2019.xlsx,2019
Tustin PD,Orange,,2019-04-08 14:58:00,Residential Burglary investigation.,Theft/Fraud,,,Residence,,Google Anonymous Identifier List,2019-03-25 0:00:00,2019-03-25 0:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
",,No,,eswn2019.xlsx,2019
Tustin PD,Orange,,2019-04-11 15:03:00,"Residential Burglary crew targeting multiple cities in Orange County, Ca.","Theft/Fraud
Residential Burglary Crew
",,,Business,Google LLC,Google Anonymous Identifier List,2019-03-16 0:00:00,2019-03-16 0:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
",,No,,eswn2019.xlsx,2019
Tustin PD,Orange,,2019-04-24 8:49:00,Residential burglaries occurring in multiple cities.,Theft/Fraud,,,Business,Google LLC,Anonymous Device ID expanded location data,2019-03-25 0:00:00,2019-03-25 0:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
",,No,,eswn2019.xlsx,2019
ANTIOCH POLICE DEPT.,Contra Costa,P19-171,2019-05-01 16:05:00,GOOGLE REVERSE WARRANT,Homicide,,Gang Related,Business,GOOGLE,ANONYMIZED PROFILES IN AREA OF HOMICIDE,2019-03-10 0:00:00,2019-03-10 0:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",Yes,DAYS AFTER MURDER A SECOND SHOOTING HAPPENED AT THE VICTIM'S MEMORIAL.,eswn2019.xlsx,2019
Los Angeles County District Attorney Bureau of Investigation,Los Angeles,AN19S0010734,2019-05-16 9:57:00,187 PC,Homicide,,,Business,Google,geolocation,2019-01-23 0:00:00,2019-01-23 0:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
",lead to destruction of or tampering with evidence,No,,eswn2019.xlsx,2019
